0, 5, [4306.63333333333, 34998.608096388, 42328.8685107172, 31.9884174453374], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19464.64632332245, 21335.526573231582, 20009.436090672425
1, 5, [1987.7, 46899.2970290671, 43367.7116767577, 27.2746653390111], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19482.487989989113, 21792.751391063564, 20668.429286516748
2, 5, [1987.7, 46899.2970290671, 43367.7116767577, 27.2746653390111], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19489.629656655783, 22141.558347899445, 21092.73882555034
3, 5, [1987.7, 46899.2970290671, 43367.7116767577, 27.2746653390111], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19482.238040514036, 21784.03827987727, 20659.21176653157
4, 5, [4172.16666666667, 35936.286248031, 42405.545312519, 31.8547916403891], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19482.238040514036, 21297.231762261927, 19972.864386511297
5, 5, [864.083333333333, 54625.7723220626, 43737.8701596333, 24.087818867946], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19482.238040514036, 22132.529793013928, 21264.33507791204
6, 5, [864.083333333333, 54625.7723220626, 43737.8701596333, 24.087818867946], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19482.238040514036, 22132.529793013928, 21264.33507791204
7, 5, [3388.05, 41906.3331817184, 42759.1295455374, 30.531019811688], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19357.16956497465, 23025.118741819544, 22277.140836235016
8, 5, [3388.05, 41906.3331817184, 42759.1295455374, 30.531019811688], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19172.537434834132, 22425.427183009546, 21558.501024046
9, 5, [3388.05, 41906.3331817184, 42759.1295455374, 30.531019811688], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19172.537434834132, 22427.322280163684, 21556.012823212004
10, 5, [2383.91666666667, 47796.7206257445, 43141.1071628308, 28.8214640861051], [853.166666666667, 54786.2564458678, 43736.4846080899, 24.087818867946], 19172.537434834132, 22690.648388776717, 21921.474366223687
